image_name,0,1,2,3,4,5,6,7,8
2025-05-23 23:49:55.661146,"[0.6700340509414673, 0.5955795049667358, -0.7276450991630554, 0.9959619641304016]","[0.6680797338485718, 0.5133886933326721, -0.6946935653686523, 0.9945384860038757]","[0.6729491353034973, 0.5129071474075317, -0.6944724321365356, 0.9951075911521912]","[0.6784170269966125, 0.5124000906944275, -0.6946060061454773, 0.9948693513870239]","[0.6407919526100159, 0.509534478187561, -0.740597665309906, 0.994064211845398]","[0.6246095299720764, 0.5059361457824707, -0.7401624321937561, 0.9941163659095764]","[0.6074186563491821, 0.5020936131477356, -0.7404796481132507, 0.9934029579162598]","[0.6427404284477234, 0.519173800945282, -0.4256668984889984, 0.994391679763794]","[0.5378417372703552, 0.5129303336143494, -0.6371467113494873, 0.9948413372039795]"
2025-05-23 23:49:55.775854,"[0.649702250957489, 0.5895262360572815, -0.8088892102241516, 0.9961584806442261]","[0.6530818939208984, 0.5091365575790405, -0.7736316323280334, 0.9946564435958862]","[0.6606552600860596, 0.5089795589447021, -0.7733526229858398, 0.9951944947242737]","[0.6683467626571655, 0.508609414100647, -0.7735709547996521, 0.9949140548706055]","[0.6191074252128601, 0.5056302547454834, -0.8109130859375, 0.994361162185669]","[0.6018359065055847, 0.5029228925704956, -0.810368001461029, 0.9944537878036499]","[0.5841569900512695, 0.5003450512886047, -0.810677170753479, 0.9938133955001831]","[0.6446474194526672, 0.5175414681434631, -0.46544119715690613, 0.9943832755088806]","[0.5243059992790222, 0.509707510471344, -0.6224389672279358, 0.9952069520950317]"
2025-05-23 23:49:55.860796,"[0.6212330460548401, 0.5857293009757996, -0.7461391687393188, 0.9964931011199951]","[0.6307392716407776, 0.5078944563865662, -0.7213609218597412, 0.9950833320617676]","[0.6427449584007263, 0.5057491660118103, -0.7209189534187317, 0.9955717921257019]","[0.6549840569496155, 0.5035008192062378, -0.7209062576293945, 0.9953166842460632]","[0.5878664255142212, 0.5030562281608582, -0.7308948040008545, 0.9948530197143555]","[0.5693295001983643, 0.4999636113643646, -0.7299495339393616, 0.9949361085891724]","[0.547982394695282, 0.4972940981388092, -0.7300426959991455, 0.9943627119064331]","[0.644072413444519, 0.512273371219635, -0.44505774974823, 0.9948001503944397]","[0.49811309576034546, 0.5079453587532043, -0.47591978311538696, 0.9956341981887817]"
2025-05-23 23:49:55.960423,"[0.5509673357009888, 0.5832974314689636, -0.7393758893013, 0.9968301057815552]","[0.579819917678833, 0.5029196739196777, -0.7107208967208862, 0.9955401420593262]","[0.5967512130737305, 0.5011465549468994, -0.7103444337844849, 0.9959803819656372]","[0.6153699159622192, 0.49932268261909485, -0.7103697061538696, 0.9957466721534729]","[0.5262463092803955, 0.4995386302471161, -0.7179153561592102, 0.995341956615448]","[0.5079297423362732, 0.49692460894584656, -0.7169412970542908, 0.9954171776771545]","[0.49231234192848206, 0.4951552748680115, -0.71702641248703, 0.9949015974998474]","[0.6367864608764648, 0.5121127367019653, -0.4345398545265198, 0.9952692985534668]","[0.4687744081020355, 0.5066762566566467, -0.40072906017303467, 0.9960504174232483]"
2025-05-23 23:49:56.061698,"[0.5031278133392334, 0.5713755488395691, -0.7277458310127258, 0.9971319437026978]","[0.5363627076148987, 0.4897810220718384, -0.7102600336074829, 0.9959423542022705]","[0.5565842986106873, 0.4882081151008606, -0.709829568862915, 0.9963449239730835]","[0.574985921382904, 0.4874502122402191, -0.7099000811576843, 0.9961239099502563]","[0.48480549454689026, 0.4881775975227356, -0.6847695708274841, 0.9957728385925293]","[0.469853937625885, 0.4862912893295288, -0.6838081479072571, 0.9958460927009583]","[0.45677706599235535, 0.4850999712944031, -0.6840617656707764, 0.9953790903091431]","[0.6136406064033508, 0.5048484802246094, -0.4372200667858124, 0.9956918358802795]","[0.4552994966506958, 0.49673059582710266, -0.34133875370025635, 0.9964213371276855]"
2025-05-23 23:49:56.162182,"[0.46778932213783264, 0.5464451313018799, -0.6164213418960571, 0.9973974823951721]","[0.5040257573127747, 0.4702940285205841, -0.6058378219604492, 0.9962893128395081]","[0.5240318775177002, 0.46883848309516907, -0.6056517958641052, 0.9966649413108826]","[0.5433634519577026, 0.4696256220340729, -0.6056491732597351, 0.9964531064033508]","[0.45791903138160706, 0.4729219675064087, -0.5668929219245911, 0.9961482286453247]","[0.4473898708820343, 0.4727685749530792, -0.5660324096679688, 0.996225118637085]","[0.4386580288410187, 0.47358885407447815, -0.5664286017417908, 0.9957991242408752]","[0.5886571407318115, 0.4964192807674408, -0.41685304045677185, 0.9960612058639526]","[0.44635698199272156, 0.49099573493003845, -0.2289678007364273, 0.9967419505119324]"
2025-05-23 23:49:56.261734,"[0.4520694613456726, 0.5340397953987122, -0.5974482297897339, 0.9976449012756348]","[0.4886264503002167, 0.4615103006362915, -0.5899854898452759, 0.9966224431991577]","[0.5092993378639221, 0.4594622850418091, -0.5897318720817566, 0.9969708919525146]","[0.5289836525917053, 0.46007147431373596, -0.5897881388664246, 0.9967703223228455]","[0.4454740285873413, 0.46675628423690796, -0.5441507697105408, 0.996501088142395]","[0.4371589720249176, 0.4677366316318512, -0.5432493686676025, 0.9965792894363403]","[0.42776936292648315, 0.469767302274704, -0.543627142906189, 0.9961909651756287]","[0.5759607553482056, 0.491561621427536, -0.4159015417098999, 0.9964159727096558]","[0.4387986958026886, 0.4899851381778717, -0.19125927984714508, 0.9970460534095764]"
2025-05-23 23:49:56.362121,"[0.4236450791358948, 0.5345403552055359, -0.5024843215942383, 0.99785977602005]","[0.45419901609420776, 0.46154770255088806, -0.5307038426399231, 0.9968995451927185]","[0.4725662171840668, 0.4595090448856354, -0.5304442644119263, 0.9972254633903503]","[0.4928341209888458, 0.4592325985431671, -0.5303595662117004, 0.9970366358757019]","[0.4204324781894684, 0.46753939986228943, -0.4611353576183319, 0.9967993497848511]","[0.41226184368133545, 0.46914464235305786, -0.46027782559394836, 0.9968768358230591]","[0.40511149168014526, 0.4717541038990021, -0.4607582688331604, 0.9965240359306335]","[0.5572346448898315, 0.48821890354156494, -0.45613864064216614, 0.9967136383056641]","[0.4317396283149719, 0.4908131957054138, -0.14410896599292755, 0.9973030090332031]"
2025-05-23 23:49:56.462306,"[0.41292160749435425, 0.5315289497375488, -0.4859514534473419, 0.9980469942092896]","[0.44246014952659607, 0.4551704227924347, -0.5143210887908936, 0.9971319437026978]","[0.4604131281375885, 0.4507596492767334, -0.5140631198883057, 0.997443675994873]","[0.4810418486595154, 0.4482051134109497, -0.5140368342399597, 0.9972623586654663]","[0.4062388241291046, 0.46560728549957275, -0.44389551877975464, 0.9970524311065674]","[0.3979526460170746, 0.468094140291214, -0.44306060671806335, 0.9971334338188171]","[0.38991326093673706, 0.47127413749694824, -0.443552166223526, 0.9968089461326599]","[0.5461620092391968, 0.4759080708026886, -0.45900487899780273, 0.9969658851623535]","[0.42004984617233276, 0.48837217688560486, -0.1251038908958435, 0.9975168704986572]"
2025-05-23 23:49:56.563227,"[0.40237873792648315, 0.5331534147262573, -0.44811004400253296, 0.9982262849807739]","[0.4333347678184509, 0.4553374648094177, -0.4864915907382965, 0.9973784685134888]","[0.451362282037735, 0.4510946571826935, -0.4862540066242218, 0.997671902179718]","[0.4720681309700012, 0.4481319785118103, -0.48639076948165894, 0.9975011944770813]","[0.39695608615875244, 0.4682781398296356, -0.4098978638648987, 0.9973099827766418]","[0.3884719908237457, 0.4718882441520691, -0.409046471118927, 0.9973905086517334]","[0.3796897828578949, 0.4768161475658417, -0.409516841173172, 0.9970908761024475]","[0.5374489426612854, 0.47360309958457947, -0.45482221245765686, 0.9972410798072815]","[0.4121400713920593, 0.4911589026451111, -0.09026674926280975, 0.997742235660553]"
2025-05-23 23:49:56.648229,"[0.40923765301704407, 0.5463245511054993, -0.45527321100234985, 0.998382568359375]","[0.4391399919986725, 0.46091005206108093, -0.4848550856113434, 0.9975879788398743]","[0.4567527770996094, 0.45528388023376465, -0.4846387505531311, 0.9978651404380798]","[0.4766084849834442, 0.4504031538963318, -0.4848802983760834, 0.9977040886878967]","[0.4032665193080902, 0.47597232460975647, -0.41190630197525024, 0.9975316524505615]","[0.3947359323501587, 0.4803439676761627, -0.4109482765197754, 0.9976131916046143]","[0.3864040672779083, 0.48579052090644836, -0.4113798141479492, 0.9973403811454773]","[0.540903627872467, 0.4737076163291931, -0.44738858938217163, 0.9974703788757324]","[0.4147748053073883, 0.4953145384788513, -0.07437059283256531, 0.997934877872467]"
2025-05-23 23:49:56.747068,"[0.42692458629608154, 0.5569247603416443, -0.6476190090179443, 0.9985325336456299]","[0.4546865224838257, 0.4672544300556183, -0.6387833952903748, 0.9977937340736389]","[0.47051507234573364, 0.46259522438049316, -0.6386463046073914, 0.998052716255188]","[0.48774436116218567, 0.45862773060798645, -0.6388276815414429, 0.9978969693183899]","[0.41760021448135376, 0.4805338680744171, -0.5927403569221497, 0.9977471232414246]","[0.40774884819984436, 0.48391565680503845, -0.5918895602226257, 0.9978281855583191]","[0.398394376039505, 0.4885540008544922, -0.5922967791557312, 0.9975759983062744]","[0.5459564328193665, 0.47921091318130493, -0.44756248593330383, 0.9976897239685059]","[0.4185457229614258, 0.4970696270465851, -0.14736343920230865, 0.9981206059455872]"
